salary,prior_experience,years_in_field,years_at_rank,market_value,has_degree,has_other_qualification,employee_position,is_male,years_absent,engineering_department,finance_department,marketing_department,manager_position,executive_position,prior_experience_original
48395.0,0.0,3.0,3.0,1.2100000381469727,1,0,1,1,0.0,0,0,1,0,0,0
30000.0,3.0,0.0,0.0,0.7799999713897705,0,0,1,1,2.0,0,0,0,0,0,3
40066.0,0.0,4.0,4.0,0.8799999952316284,1,0,1,1,2.0,0,0,0,0,0,0
38600.0,1.0,3.0,1.0,0.9300000071525574,1,0,1,1,0.0,0,1,0,0,0,1
58930.0,0.0,6.0,0.0,1.1699999570846558,1,0,2,1,1.0,0,1,0,1,0,0
38936.0,2.0,2.0,2.0,0.9900000095367432,1,0,1,1,1.0,0,0,1,0,0,2
59110.0,0.0,4.0,4.0,0.9200000166893005,1,0,1,1,0.0,1,0,0,0,0,0
60423.0,0.0,5.0,5.0,1.2400000095367432,1,0,1,1,4.0,1,0,0,0,0,0
33680.0,4.0,1.0,1.0,0.7900000214576721,1,0,1,1,4.0,0,0,0,0,0,4
38000.0,4.0,0.0,0.0,0.9100000262260437,1,0,1,1,0.0,0,0,0,0,0,4
42088.0,1.0,3.0,3.0,1.1399999856948853,1,0,1,1,2.0,0,0,1,0,0,1
40000.0,4.0,0.0,0.0,1.0,1,0,1,1,0.0,0,0,0,0,0,4
40512.0,4.0,1.0,1.0,1.0,1,0,1,1,0.0,0,0,0,0,0,4
34157.0,0.0,5.0,5.0,1.0,1,0,1,1,2.0,0,0,1,0,0,0
36308.0,3.0,2.0,2.0,0.800000011920929,1,0,1,1,0.0,1,0,0,0,0,3
59880.0,0.0,6.0,0.0,1.1799999475479126,1,0,2,1,2.0,1,0,0,1,0,0
32000.0,1.0,5.0,5.0,0.7400000095367432,1,0,1,1,0.0,0,0,0,0,0,1
33154.0,2.0,2.0,2.0,0.7900000214576721,1,0,1,1,1.0,0,0,0,0,0,2
33680.0,1.0,3.0,3.0,0.8500000238418579,1,0,1,1,1.0,0,0,0,0,0,1
35317.0,0.0,7.0,7.0,0.8600000143051147,1,0,1,1,1.0,0,0,1,0,0,0
53376.0,0.0,6.0,0.0,1.2100000381469727,1,0,2,1,1.0,1,0,0,1,0,0
29500.0,6.0,0.0,0.0,0.7900000214576721,1,0,1,1,0.0,0,0,0,0,0,6
38333.0,0.0,7.0,2.0,0.800000011920929,1,0,2,1,2.0,0,0,0,1,0,0
36833.0,2.0,3.0,3.0,0.9200000166893005,1,0,1,1,2.0,0,0,1,0,0,2
61439.0,0.0,7.0,2.0,1.1699999570846558,1,0,2,1,3.0,0,0,1,1,0,0
63155.0,0.0,6.0,0.0,0.9200000166893005,1,0,2,1,0.0,1,0,0,1,0,0
58118.0,0.0,5.0,5.0,0.9200000166893005,1,0,1,1,0.0,1,0,0,0,0,0
35980.0,2.0,4.0,4.0,0.9900000095367432,1,0,1,1,3.0,0,1,0,0,0,2
38265.0,2.0,4.0,1.0,0.8299999833106995,1,0,2,1,3.0,0,0,0,1,0,2
37500.0,0.0,7.0,1.0,0.7300000190734863,1,0,2,1,3.0,0,0,1,1,0,0
39986.0,1.0,4.0,4.0,1.1699999570846558,1,0,1,1,0.0,0,0,1,0,0,1
41974.0,0.0,6.0,0.0,1.0,1,0,2,1,3.0,0,0,1,1,0,0
30927.0,1.0,6.0,6.0,0.7900000214576721,1,0,1,1,3.0,0,0,0,0,0,1
37500.0,0.0,6.0,0.0,0.9200000166893005,1,0,2,1,0.0,0,0,0,1,0,0
37884.0,4.0,2.0,2.0,1.090000033378601,1,0,1,1,0.0,0,0,0,0,0,4
41483.0,1.0,5.0,2.0,0.9300000071525574,1,0,2,1,1.0,0,0,0,1,0,1
37363.0,2.0,4.0,4.0,0.9300000071525574,1,0,1,1,0.0,0,0,1,0,0,2
42088.0,6.0,1.0,1.0,0.8199999928474426,1,0,2,1,0.0,0,0,1,1,0,6
46975.0,0.0,7.0,2.0,1.0399999618530273,1,0,2,1,1.0,0,1,0,1,0,0
29000.0,6.0,0.0,0.0,0.7799999713897705,0,0,1,1,0.0,0,0,0,0,0,6
56278.0,3.0,5.0,5.0,1.2300000190734863,0,0,1,1,0.0,0,1,0,0,0,3
30001.0,4.0,3.0,3.0,0.7699999809265137,1,0,1,1,1.0,0,0,0,0,0,4
41037.0,5.0,2.0,1.0,0.9200000166893005,1,0,1,1,1.0,0,0,1,0,0,5
38935.0,6.0,2.0,2.0,0.7699999809265137,1,0,1,1,0.0,0,0,1,0,0,6
39024.0,2.0,7.0,0.0,0.9900000095367432,1,0,2,1,0.0,0,0,0,1,0,2
44813.0,0.0,8.0,2.0,1.0,1,0,2,1,0.0,0,0,0,1,0,0
35257.0,3.0,4.0,4.0,0.8500000238418579,1,0,1,1,0.0,0,0,1,0,0,3
34914.0,1.0,7.0,0.0,0.8600000143051147,1,0,2,1,2.0,0,0,0,1,0,1
39771.16015625,0.0,11.0,5.0,0.8100000023841858,1,0,2,1,0.0,0,0,0,1,0,0
43641.0,0.0,8.0,3.0,0.9900000095367432,1,0,2,1,1.0,0,0,0,1,0,0
41639.0,1.0,6.0,0.0,1.090000033378601,1,0,2,1,0.0,0,0,1,1,0,1
44678.0,0.0,8.0,3.0,0.8299999833106995,1,0,2,1,1.0,0,0,0,1,0,0
55406.0,0.0,10.0,3.0,1.2300000190734863,1,0,2,1,1.0,1,0,0,1,0,0
39156.0,0.0,8.0,2.0,0.8799999952316284,1,0,2,1,0.0,0,0,0,1,0,0
40465.0,4.0,5.0,0.0,0.9100000262260437,1,0,2,1,1.0,0,0,0,1,0,4
41563.0,7.0,2.0,2.0,0.9200000166893005,1,0,1,1,3.0,0,0,0,0,0,7
34731.0,6.0,3.0,3.0,0.8500000238418579,1,0,1,1,0.0,0,0,1,0,0,6
48378.0,3.0,6.0,0.0,0.9100000262260437,1,0,2,1,0.0,0,0,1,1,0,3
38810.01171875,0.0,10.0,5.0,0.7300000190734863,1,0,2,1,1.0,0,1,0,1,0,0
41682.0,1.0,7.0,1.0,0.9200000166893005,1,0,2,1,0.0,0,0,1,1,0,1
42482.0,0.0,9.0,4.0,0.9900000095367432,1,0,2,1,0.0,0,0,1,1,0,0
55158.0,1.0,8.0,3.0,1.2100000381469727,1,0,2,1,1.0,1,0,0,1,0,1
40512.0,8.0,1.0,1.0,0.8399999737739563,1,0,1,1,1.0,0,1,0,0,0,8
40615.0,4.0,6.0,2.0,1.0700000524520874,1,0,2,1,0.0,0,1,0,1,0,4
42563.0,0.0,9.0,3.0,0.8399999737739563,1,0,2,1,0.0,1,0,0,1,0,0
64073.0,0.0,11.0,0.0,1.2100000381469727,1,0,3,1,0.0,0,1,0,0,1,0
65212.0,7.0,3.0,3.0,1.1799999475479126,1,0,2,1,0.0,0,1,0,1,0,7
39924.0,6.0,5.0,2.0,0.9300000071525574,0,0,2,1,0.0,0,0,1,1,0,6
49439.0,0.0,16.0,8.0,0.7799999713897705,0,0,3,1,0.0,0,0,1,0,1,0
50096.0,3.0,7.0,4.0,1.1799999475479126,1,0,2,1,1.0,0,1,0,1,0,3
41121.0,0.0,9.0,5.0,0.7300000190734863,1,0,2,1,0.0,0,0,0,1,0,0
54464.0,0.0,10.0,1.0,0.9900000095367432,1,1,3,1,0.0,1,0,0,0,1,0
42717.59765625,0.0,10.0,5.0,0.800000011920929,1,1,2,1,1.0,0,1,0,1,0,0
33680.0,7.0,3.0,3.0,0.7400000095367432,1,0,1,1,1.0,0,0,0,0,0,7
40000.0,3.0,7.0,2.0,0.7900000214576721,1,0,2,1,0.0,0,0,0,1,0,3
34000.0,1.0,9.0,3.0,0.7799999713897705,1,0,2,1,0.0,0,0,0,1,0,1
48921.0,8.0,2.0,2.0,0.9900000095367432,1,0,2,1,0.0,0,0,1,1,0,8
61988.0,0.0,11.0,3.0,1.2100000381469727,1,0,2,1,0.0,1,0,0,1,0,0
41073.0,0.0,11.0,0.0,0.800000011920929,1,0,3,1,0.0,0,0,0,0,1,0
44463.0,5.0,6.0,3.0,1.0,1,0,2,1,0.0,0,0,0,1,0,5
40945.0,0.0,11.0,5.0,0.949999988079071,1,0,2,1,1.0,0,0,1,1,0,0
48078.0,0.0,11.0,5.0,1.0399999618530273,1,0,2,1,0.0,0,0,0,1,0,0
49667.0,0.0,12.0,4.0,0.8799999952316284,1,0,2,1,0.0,0,1,0,1,0,0
58949.0,0.0,12.0,6.0,1.2300000190734863,1,0,2,1,1.0,0,1,0,1,0,0
33787.0,7.0,5.0,1.0,0.7699999809265137,1,0,2,1,1.0,0,0,1,1,0,7
70546.0,0.0,14.0,8.0,1.2400000095367432,1,0,2,1,0.0,1,0,0,1,0,0
36000.0,0.0,11.0,5.0,0.7400000095367432,1,0,2,1,0.0,0,1,0,1,0,0
41425.0,5.0,6.0,3.0,0.9100000262260437,1,0,2,1,0.0,0,0,0,1,0,5
48941.0,0.0,12.0,0.0,0.8500000238418579,1,0,3,1,0.0,0,0,1,0,1,0
57779.0,0.0,13.0,7.0,1.190000057220459,1,0,2,1,0.0,0,0,1,1,0,0
47349.0,0.0,20.0,9.0,0.8899999856948853,1,0,2,1,0.0,0,1,0,1,0,0
35682.0,4.0,7.0,1.0,0.800000011920929,1,0,2,1,1.0,0,0,1,1,0,4
37242.0,8.0,4.0,1.0,0.9900000095367432,1,0,2,1,0.0,0,0,1,1,0,8
42977.0,5.0,7.0,1.0,0.9900000095367432,1,0,2,1,0.0,0,1,0,1,0,5
52996.0,5.0,8.0,8.0,0.8399999737739563,1,1,2,1,1.0,0,0,0,1,0,5
53543.0,9.0,4.0,4.0,1.1699999570846558,1,0,2,1,1.0,1,0,0,1,0,9
42537.0,0.0,13.0,8.0,0.800000011920929,1,0,2,1,0.0,0,0,0,1,0,0
45831.0,0.0,20.0,7.0,0.7900000214576721,1,0,2,1,0.0,0,0,1,1,0,0
55847.0,2.0,12.0,5.0,1.2300000190734863,1,0,2,1,0.0,0,0,1,1,0,2
53103.0,3.0,10.0,10.0,1.2300000190734863,1,0,2,1,0.0,1,0,0,1,0,3
40957.0,0.0,14.0,13.0,0.9200000166893005,1,0,1,1,0.0,0,0,1,0,0,0
45032.0,0.0,13.0,0.0,0.8500000238418579,1,0,3,1,0.0,1,0,0,0,1,0
48210.0,0.0,4.0,4.0,1.0199999809265137,1,0,1,1,1.0,0,0,1,0,0,10
60725.8671875,2.0,11.0,2.0,1.0,1,0,2,1,0.0,1,0,0,1,0,2
40986.0,0.0,14.0,6.0,0.7699999809265137,1,0,2,1,0.0,0,0,1,1,0,0
41723.0,7.0,7.0,4.0,0.8700000047683716,1,0,2,1,1.0,0,0,1,1,0,7
51729.0,5.0,9.0,3.0,1.1699999570846558,1,1,3,1,1.0,0,0,1,0,1,5
47820.0,0.0,18.0,10.0,0.8799999952316284,1,0,2,1,0.0,1,0,0,1,0,0
52054.24609375,0.0,1.0,1.0,0.9900000095367432,1,0,3,1,0.0,0,1,0,0,1,13
43188.0,1.0,13.0,1.0,0.8500000238418579,1,0,3,1,0.0,0,0,0,0,1,1
55978.1953125,7.0,8.0,8.0,0.7599999904632568,1,0,2,1,0.0,0,0,1,1,0,7
55979.0,0.0,14.0,3.0,1.0399999618530273,1,0,3,1,0.0,1,0,0,0,1,0
47573.0,0.0,15.0,11.0,0.8700000047683716,1,0,2,1,0.0,0,1,0,1,0,0
42954.0,6.0,9.0,0.0,0.9200000166893005,1,0,3,1,1.0,0,0,0,0,1,6
44204.0,9.0,6.0,6.0,1.090000033378601,1,0,1,1,0.0,0,0,0,0,0,9
54000.0,3.0,13.0,6.0,0.8700000047683716,1,0,3,1,0.0,1,0,0,0,1,3
44539.0,0.0,15.0,8.0,0.7699999809265137,1,0,2,1,1.0,0,0,0,1,0,0
46573.6484375,0.0,16.0,3.0,0.9100000262260437,1,0,3,1,1.0,0,0,0,0,1,0
47999.421875,0.0,15.0,1.0,0.8600000143051147,1,0,3,1,0.0,0,0,0,0,1,0
54238.0,0.0,15.0,4.0,1.1399999856948853,1,0,3,1,0.0,0,0,1,0,1,0
37000.0,7.0,7.0,4.0,0.7799999713897705,1,0,2,1,0.0,1,0,0,1,0,7
49923.0,0.0,15.0,2.0,1.149999976158142,1,0,3,1,0.0,0,1,0,0,1,0
43277.0,2.0,13.0,9.0,0.8899999856948853,1,0,2,1,0.0,0,0,0,1,0,2
48289.0,2.0,13.0,1.0,1.100000023841858,1,0,3,1,0.0,0,0,0,0,1,2
60190.0,0.0,5.0,5.0,0.9599999785423279,1,1,3,1,1.0,1,0,0,0,1,11
38410.0,0.0,3.0,3.0,0.8799999952316284,1,0,1,1,0.0,0,0,0,0,0,12
54211.0,2.0,14.0,5.0,0.9900000095367432,1,0,3,1,0.0,0,0,1,0,1,2
46520.0,0.0,15.0,8.0,0.949999988079071,1,0,2,1,1.0,1,0,0,1,0,0
42388.0,6.0,11.0,8.0,0.8100000023841858,1,0,2,1,1.0,0,0,1,1,0,6
49357.0,3.0,13.0,3.0,0.7799999713897705,1,0,3,1,0.0,0,0,1,0,1,3
58498.453125,0.0,23.0,2.0,0.8399999737739563,1,0,3,1,0.0,0,1,0,0,1,0
76098.0,0.0,18.0,10.0,1.2400000095367432,1,0,3,1,0.0,0,1,0,0,1,0
52464.0,0.0,17.0,9.0,0.9200000166893005,1,0,2,1,0.0,0,0,1,1,0,0
61453.0,0.0,15.0,0.0,1.2100000381469727,1,0,2,1,0.0,1,0,0,1,0,0
50838.0,0.0,6.0,6.0,0.9200000166893005,1,0,2,1,0.0,0,1,0,1,0,10
56252.0,0.0,17.0,14.0,0.7300000190734863,1,0,2,1,1.0,0,1,0,1,0,0
71605.0,1.0,17.0,9.0,1.1799999475479126,1,0,3,1,0.0,1,0,0,0,1,1
49826.0,5.0,12.0,9.0,0.9300000071525574,1,0,2,1,0.0,0,1,0,1,0,5
59564.0,0.0,19.0,14.0,0.9200000166893005,1,0,2,1,1.0,0,1,0,1,0,0
41106.0,8.0,9.0,9.0,0.8500000238418579,1,0,2,1,1.0,0,0,0,1,0,8
66166.0,4.0,13.0,3.0,1.2100000381469727,1,0,3,1,0.0,1,0,0,0,1,4
66537.0,6.0,10.0,1.0,1.0,1,0,3,1,0.0,1,0,0,0,1,6
73620.0,0.0,3.0,3.0,0.9200000166893005,1,0,3,1,0.0,0,0,0,0,1,15
51565.0,0.0,20.0,4.0,0.9300000071525574,1,0,3,1,0.0,0,0,1,0,1,0
60681.0,0.0,17.0,9.0,0.9599999785423279,1,0,3,1,0.0,0,0,1,0,1,0
68444.515625,7.0,10.0,4.0,1.190000057220459,1,0,3,1,0.0,0,0,1,0,1,7
60056.0,0.0,18.0,8.0,0.8500000238418579,1,0,3,1,2.0,1,0,0,0,1,0
47029.0,7.0,11.0,1.0,0.7900000214576721,1,0,3,1,1.0,0,1,0,0,1,7
48168.0,2.0,16.0,11.0,0.8399999737739563,1,0,2,1,1.0,0,0,0,1,0,2
52627.0,0.0,20.0,10.0,0.8299999833106995,1,0,3,1,0.0,1,0,0,0,1,0
60153.0,3.0,15.0,13.0,1.2400000095367432,1,0,1,1,0.0,1,0,0,0,0,3
46551.0,1.0,17.0,12.0,0.9399999976158142,1,0,2,1,0.0,0,1,0,1,0,1
56055.0,0.0,18.0,6.0,0.9300000071525574,1,0,3,1,1.0,0,1,0,0,1,0
46601.0,0.0,21.0,2.0,0.9900000095367432,1,0,3,1,1.0,0,0,0,0,1,0
54177.0,0.0,20.0,5.0,0.8199999928474426,1,0,2,1,1.0,0,0,1,1,0,0
57246.0,0.0,17.0,4.0,0.9300000071525574,1,0,3,1,1.0,0,0,1,0,1,0
62899.0,9.0,9.0,9.0,1.2100000381469727,1,0,2,1,1.0,1,0,0,1,0,9
48473.0,0.0,19.0,15.0,0.8399999737739563,1,0,2,1,1.0,0,0,1,1,0,0
66570.0,0.0,20.0,9.0,0.7599999904632568,1,0,3,1,0.0,1,0,0,0,1,0
58471.0,0.0,24.0,13.0,0.8399999737739563,1,0,3,1,0.0,0,1,0,0,1,0
52172.0,6.0,15.0,11.0,0.7300000190734863,1,0,3,1,0.0,0,0,1,0,1,6
53010.0,2.0,16.0,8.0,0.8500000238418579,1,0,3,1,2.0,0,0,1,0,1,2
51943.0,0.0,0.0,0.0,0.8700000047683716,1,1,3,1,2.0,0,1,0,0,1,19
45000.0,0.0,0.0,0.0,1.0,1,0,2,1,0.0,1,0,0,1,0,20
54003.0,0.0,20.0,5.0,0.8899999856948853,1,0,3,1,0.0,0,0,1,0,1,0
60006.0,0.0,24.0,2.0,0.9200000166893005,1,0,3,1,0.0,1,0,0,0,1,0
71543.0,0.0,7.0,7.0,0.9200000166893005,1,1,3,1,3.0,0,1,0,0,1,13
56436.0,4.0,16.0,5.0,0.9399999976158142,1,0,3,1,0.0,0,0,0,0,1,4
50096.0,0.0,21.0,10.0,0.9300000071525574,1,0,3,1,1.0,0,0,1,0,1,0
64686.62109375,5.0,16.0,8.0,1.149999976158142,1,0,3,1,1.0,1,0,0,0,1,5
64794.59765625,0.0,21.0,11.0,0.9200000166893005,1,0,3,1,0.0,1,0,0,0,1,0
58149.0,3.0,18.0,10.0,0.8199999928474426,1,0,2,1,1.0,0,1,0,1,0,3
67647.0,0.0,20.0,10.0,1.2100000381469727,1,0,3,1,0.0,0,1,0,0,1,0
56687.0,0.0,21.0,10.0,0.8500000238418579,1,0,3,1,0.0,0,0,1,0,1,0
59472.0,5.0,15.0,15.0,0.8899999856948853,1,0,2,1,1.0,1,0,0,1,0,5
54701.0,0.0,2.0,1.0,0.9900000095367432,1,0,2,1,0.0,0,1,0,1,0,19
43695.0,0.0,4.0,4.0,0.9300000071525574,0,0,1,1,0.0,0,0,0,0,0,17
44225.0,0.0,8.0,8.0,1.0499999523162842,1,0,1,1,0.0,0,0,0,0,0,13
54274.0,0.0,22.0,12.0,1.0199999809265137,1,0,3,1,0.0,0,0,1,0,1,0
55549.5625,0.0,23.0,2.0,0.9100000262260437,1,0,3,1,0.0,0,0,1,0,1,0
57973.0,4.0,17.0,9.0,0.9300000071525574,1,0,3,1,0.0,0,0,1,0,1,4
80760.0,0.0,7.0,7.0,0.9200000166893005,1,0,3,1,0.0,1,0,0,0,1,13
49768.0,0.0,26.0,7.0,0.8999999761581421,1,0,3,1,1.0,0,1,0,0,1,0
70434.0,7.0,15.0,10.0,1.2400000095367432,1,0,3,1,1.0,0,1,0,0,1,7
56933.0,7.0,14.0,11.0,0.8799999952316284,1,0,3,1,0.0,0,0,1,0,1,7
53274.0,0.0,22.0,10.0,0.8500000238418579,1,0,3,1,2.0,1,0,0,0,1,0
59534.859375,0.0,24.0,10.0,0.9300000071525574,1,0,3,1,2.0,1,0,0,0,1,0
64161.0,0.0,2.0,2.0,0.8600000143051147,1,0,3,1,0.0,1,0,0,0,1,20
65704.0,1.0,21.0,11.0,0.7599999904632568,1,0,3,1,1.0,1,0,0,0,1,1
58982.0,1.0,20.0,5.0,1.100000023841858,1,0,3,1,1.0,0,1,0,0,1,1
62211.0,0.0,21.0,11.0,1.1399999856948853,1,0,3,1,0.0,0,1,0,0,1,0
71142.0,1.0,20.0,16.0,1.2100000381469727,1,0,2,1,4.0,0,1,0,1,0,1
47148.0,3.0,19.0,7.0,0.7400000095367432,1,0,3,1,4.0,0,0,0,0,1,3
60717.0,1.0,21.0,11.0,0.9900000095367432,1,0,3,1,0.0,1,0,0,0,1,1
63827.0,0.0,24.0,12.0,1.1399999856948853,1,0,3,1,2.0,1,0,0,0,1,0
64854.3125,0.0,22.0,12.0,1.0,1,0,3,1,0.0,1,0,0,0,1,0
75353.0,0.0,25.0,12.0,1.2400000095367432,1,0,3,1,0.0,1,0,0,0,1,0
63409.0,0.0,22.0,17.0,1.2300000190734863,1,0,2,1,2.0,0,1,0,1,0,0
63231.0,0.0,29.0,15.0,1.2200000286102295,1,0,3,1,0.0,0,0,0,0,1,0
44454.0,5.0,16.0,10.0,1.0199999809265137,1,0,2,1,2.0,0,0,0,1,0,5
45837.0,4.0,18.0,3.0,0.8500000238418579,1,0,3,1,0.0,0,0,1,0,1,4
48543.0,0.0,25.0,17.0,0.7900000214576721,1,0,2,1,1.0,0,0,1,1,0,0
61316.0,0.0,22.0,13.0,1.0,1,0,3,1,1.0,0,0,1,0,1,0
54686.0,0.0,28.0,7.0,0.9100000262260437,1,0,3,1,1.0,1,0,0,0,1,0
60653.0625,8.0,14.0,12.0,0.8500000238418579,1,0,3,1,1.0,1,0,0,0,1,8
64046.0,0.0,25.0,13.0,0.7799999713897705,1,0,3,1,0.0,1,0,0,0,1,0
66789.703125,0.0,24.0,12.0,0.8600000143051147,1,0,3,1,2.0,1,0,0,0,1,0
50235.0,0.0,21.0,1.0,0.7900000214576721,1,0,3,1,2.0,0,1,0,0,1,0
61210.0,0.0,24.0,16.0,1.1699999570846558,1,0,3,1,3.0,0,1,0,0,1,0
69374.0,0.0,26.0,15.0,1.1399999856948853,1,0,3,1,0.0,1,0,0,0,1,0
62350.0,5.0,19.0,14.0,1.090000033378601,1,0,3,1,0.0,1,0,0,0,1,5
62623.0,0.0,26.0,15.0,0.7900000214576721,1,0,3,1,3.0,1,0,0,0,1,0
54822.0,0.0,25.0,10.0,0.9200000166893005,1,0,3,1,3.0,0,1,0,0,1,0
55090.0,2.0,21.0,18.0,1.0199999809265137,1,0,2,1,3.0,0,1,0,1,0,2
70101.78125,0.0,23.0,16.0,0.8899999856948853,1,0,3,1,0.0,0,1,0,0,1,0
73349.0,1.0,22.0,18.0,1.2100000381469727,1,0,2,1,3.0,0,0,0,1,0,1
48099.0,1.0,21.0,15.0,0.8500000238418579,1,0,2,1,3.0,0,0,0,1,0,1
52173.0,0.0,22.0,8.0,0.7799999713897705,1,0,3,1,0.0,0,0,1,0,1,0
63167.0,0.0,26.0,17.0,0.9599999785423279,1,0,2,1,0.0,1,0,0,1,0,0
67062.0,0.0,25.0,15.0,1.1399999856948853,1,0,3,1,1.0,1,0,0,0,1,0
44190.0,0.0,4.0,4.0,0.7799999713897705,1,0,2,1,0.0,0,1,0,1,0,19
52034.0,0.0,24.0,15.0,0.8500000238418579,1,0,2,1,0.0,0,1,0,1,0,0
55039.0,0.0,25.0,9.0,0.8500000238418579,1,0,3,1,1.0,0,1,0,0,1,0
56574.0,0.0,26.0,1.0,1.0,1,0,3,1,0.0,0,1,0,0,1,0
58698.0,0.0,22.0,5.0,0.9599999785423279,1,0,3,1,0.0,0,1,0,0,1,0
64863.0,0.0,23.0,14.0,0.9900000095367432,1,0,3,1,1.0,0,1,0,0,1,0
30000.0,0.0,1.0,0.0,0.7900000214576721,1,0,1,1,1.0,0,0,0,0,0,22
52894.0,0.0,24.0,8.0,0.9200000166893005,1,0,3,1,0.0,0,0,0,0,1,0
44413.0,3.0,21.0,13.0,0.9100000262260437,1,0,2,1,0.0,0,0,0,1,0,3
55411.0,0.0,22.0,8.0,0.9100000262260437,1,0,3,1,0.0,1,0,0,0,1,0
68894.0,0.0,7.0,7.0,0.9900000095367432,1,1,3,1,0.0,1,0,0,0,1,16
53248.0,0.0,23.0,13.0,0.7400000095367432,1,0,3,1,2.0,1,0,0,0,1,0
53665.0,0.0,25.0,12.0,0.9200000166893005,1,0,3,1,0.0,1,0,0,0,1,0
65432.0,0.0,23.0,12.0,0.9900000095367432,1,0,3,1,1.0,1,0,0,0,1,0
71812.0,2.0,21.0,14.0,1.2100000381469727,1,0,3,1,0.0,1,0,0,0,1,2
73669.0,0.0,23.0,14.0,1.190000057220459,1,0,3,1,1.0,1,0,0,0,1,0
45287.0,0.0,22.0,16.0,0.8500000238418579,1,0,2,1,1.0,0,0,1,1,0,0
